,loc,lon,lat
0,"SANKT INGBERT, DE",7.1156707,49.2788378
1,"ROUBAIX, FR",3.1741734,50.6915893
2,"PARIS, FR",2.3514616,48.8566969
3,"HOMBURG, DE",7.3340336,49.3181673
4,"BOULOGNE BILLANCOURT, FR",2.240206,48.8356649
5,"KARLSRUHE, DE",8.4034195,49.0068705
8,"ROTTERDAM, NL",4.4631786,51.9228934
10,"REGENSBURG, DE",12.0974869,49.0195333
11,"ANGERS, FR",-0.5515588,47.4739884
12,"LES ACACIAS, CH",6.1304269,46.1929617
13,"LYON, FR",4.8320114,45.7578137
14,"GRENOBLE, FR",5.7357819,45.1875602
15,"VILLEURBANNE, FR",4.886899,45.7733124
17,"TOURVES, FR",5.9243299,43.407701
18,"CLERMONT-FERRAND, FR",3.0819427,45.7774551
19,"BONN, DE",7.10066,50.735851
20,"DUBAI, AE",55.18853865430702,25.074282349999997
21,"LONDON, GB",-0.1276474,51.5073219
22,"MONACO, MC",7.424224092532953,43.73844905
23,"RANST, BE",4.5633,51.1897015
25,"COPENHAGUE V, DK",12.5700724,55.6867243
27,"SAINT ETIENNE, FR",4.3873058,45.4401467
28,"BERLIN, DE",13.3888599,52.5170365
29,"MONTREUIL, FR",1.7631125,50.4638918
30,"MORDIALLOC, VICTORIA, AU",145.0875658,-38.0067174
31,"BENNEKOM, NL",5.6756511,52.0015947
32,"MERIDIAN, US",-88.703656,32.3643098
34,"LAVAL (GRAND MONTREAL), CA",-73.73441730569056,45.60558895
35,"STARNBERG, DE",11.3508972,48.0001038
36,"BEAUCOUZE, FR",-0.636681,47.4763
37,"NASSAU, BS",-77.3383331,25.0783456
38,"DENVER, COLORADO, US",-104.9848623,39.7392364
39,"ECUBLENS, CH",6.5620735,46.5261672
40,"ORLEANS, FR",1.9086066,47.9027336
41,"OSLO, NO",10.7389701,59.9133301
42,"MONTPELLIER, FR",3.8767337,43.6112422
43,"WILMINGTON, US",-75.546589,39.7459468
44,"CESSON SEVIGNE, FR",-1.6038829,48.1197799
46,"LILLE, FR",3.0635282,50.6365654
47,"ORSAY, FR",2.187457,48.699184
48,"AIX EN PROVENCE, FR",5.4474738,43.5298424
49,"VOIRON, FR",5.5910751,45.3631386
51,"CHATEAUBOURG, FR",-1.3982411,48.1108554
52,"TOULOUSE, FR",1.4442469,43.6044622
53,"SAINT-GENIS-LAVAL, FR",4.7928827,45.6950021
54,"MIAMI, US",-80.19362,25.7741728
55,"MELBOURNE, VICTORIA, AU",144.9631608,-37.8142176
56,"ORVAULT, FR",-1.623206,47.2711217
57,"NICE, FR",7.2683912,43.7009358
58,"LEUDELANGE, LU",6.0673211,49.5660842
59,"ZWOLLE, NL",6.0943765,52.5089759
60,"STOCKHOLM, SE",18.0710935,59.3251172
61,"LE GRAND-SACONNEX, CH",6.126532,46.2363321
62,"RENNES, FR",-1.6800198,48.1113387
63,"BOULOGNE-BILLANCOURT, FR",2.240206,48.8356649
64,"VILLAGES DU LAC DE PALADRU, FR",5.539572453586494,45.474320399999996
67,"VITRY-SUR-SEINE, FR",2.39164,48.7876
68,"PESSAC, FR",-0.6308396,44.805615
69,"ILLZACH, FR",7.347339,47.7815313
70,"REIMS, FR",4.031926,49.2577886
71,"GODALMING, GB",-0.6149074,51.1857892
72,"LEIDEN, NL",4.4811088666204295,52.1518157
73,"DORTMUND, DE",7.4652789,51.5142273
74,"SEILH, FR",1.3534881,43.694573
75,"GENT, BE",3.7250121,51.0538286
76,"MANACOR, ES",3.2106461,39.5696458
77,"SAINT JULIEN D'ASSE, FR",6.0938728,43.917146
78,"SAINT AGREVE, FR",4.3950488,45.0100141
79,"MILTON KEYNES, GB",-0.7589607,52.0429797
80,"VILLEPINTE, FR",2.0855714,43.2814917
81,"MONDEVILLE, FR",-0.3202231,49.1771038
82,"LE BOUSCAT, FR",-0.5992399,44.8661755
83,"GOUDA, NL",4.711122134697802,52.018119350000006
86,"MUNDOLSHEIM, FR",7.7150066,48.6416216
88,"VENISSIEUX, FR",4.8855966,45.6977109
89,"TARNOS, FR",-1.4611915,43.5405622
90,"DUBLIN, IE",-6.2602732,53.3497645
91,"MOLNLYCKE, SE",12.1135762,57.6583613
92,"SAINT JULIEN LES VILLAS, FR",4.0979239,48.2721492
93,"BRUXELLES, BE",4.3674366933879565,50.8436709
94,"STRASBOURG, FR",7.7507127,48.584614
95,"BOULOGNE, FR",-1.3210389,46.7947224
96,"SHERBORNE, GB",-2.5197693,50.9486876
97,"MONTARGIS, FR",2.7310072,47.9978628
98,"MAXEVILLE, FR",6.1641314,48.7119046
99,"POTSDAM, DE",13.0591397,52.4009309
100,"SEYSSINET PARISET, FR",5.6899617,45.1790768
101,"PFAFFIKON, CH",8.7819841,47.365582
102,"TOURS, FR",0.6889268,47.3900474
103,"VALENCE, FR",4.8920811,44.9332277
104,"CHIESINA UZZANESE, IT",10.7193421,43.8391003
105,"CLAPIERS - MONTPELLIER, FR",3.8868606,43.6567216
106,"CLICHY-LA-GARENNE, FR",2.30551,48.9026
107,"CERDANYOLA DEL VALLES, ES",2.1374969,41.4910324
108,"VEYRIER-DU-LAC, FR",6.1753598,45.8872046
109,"COUPVRAY, FR",2.7942557,48.8919254
110,"LES ETILLEUX, FR",0.8228979,48.2331008
111,"SAINT-SOUPPLETS, FR",2.8062379,49.038354
112,"RAMAT HASHARON, IL",34.83041339164076,32.13514395
113,"BIVIERS, FR",5.7965125,45.2375922
114,"IVRY-SUR-SEINE, FR",2.3872525,48.8122302
116,"ROMANS-SUR-ISERE, FR",5.0528681,45.0458886
117,"MECHELEN, BE",4.4803453,51.0281381
118,"GENVRY, FR",2.9907632,49.6122762
119,"ALBI, FR",2.147899,43.9277552
120,"BESANCON, FR",6.0243622,47.2380222
121,"PAU, FR",-0.3685668,43.2957547
122,"SAINT-LO, FR",-1.0906637,49.1157004
123,"LAMBERSART, FR",3.0223644,50.6477924
125,"AMIENS, FR",2.2956951,49.8941708
126,"MARSEILLE, FR",5.3699525,43.2961743
127,"MAISONS-ALFORT, FR",2.4309703,48.8012045
128,"SAINT HERBLAIN, FR",-1.6346964,47.2233007
130,"PERSAN, FR",2.2765575,49.1512109
131,"MUNICH, DE",11.5753822,48.1371079
132,"MONTBONNOT INOVALLEE, FR",5.809868649954446,45.21429035
133,"SAINT MANDE, FR",2.4185126,48.8432633
134,"HANOVRE, DE",9.7385532,52.3744779
135,"SAINT DENIS, FR",2.3580232,48.935773
136,"LES SABLES D'OLONNE, FR",-1.7767859,46.4990505
139,"RODEZ, FR",2.5727883,44.3513062
140,"MEUNG SUR LOIRE, FR",1.6968055,47.8268972
141,"VELIZY-VILLACOUBLAY, FR",2.1900052,48.7809496
142,"MONTESSON, FR",2.1492681,48.9076421
143,"LEWES, US",-75.1393498,38.7745565
144,"CHARENTON LE PONT, FR",2.4159508,48.8198479
145,"AMSTERDAM, NL",4.8936041,52.3727598
146,"AURILLAC, FR",2.4433101,44.9285441
147,"OEGSTGEEST, NL",4.472129402976295,52.1833669
149,"FEVES, FR",6.1205288,49.1961118
150,"VASTRA FROLUNDA, SE",11.911899,57.6569983
152,"MONTROUGE, FR",2.3194375,48.8188544
155,"CHAMPS-SUR-MARNE, FR",2.6027219,48.8526892
156,"LE COUDRAY, FR",1.5053605,49.3370866
157,"LIMONEST, FR",4.7708336,45.8356702
158,"GAILLAC, FR",1.8967943,43.9016766
159,"KARLSBAD, DE",8.5088293,48.9038411
160,"DEN HAAG, NL",4.3113461,52.0799838
161,"SAINT BRIEUC, FR",-2.7603283,48.5141134
163,"VOISINS LE BRETONNEUX, FR",2.0510182,48.7586644
164,"BOURG LES VALENCE, FR",4.8953847,44.9528222
165,"LA GARENNE COLOMBES, FR",2.2465748,48.9069349
166,"CHATOU, FR",2.1573695,48.8897044
167,"BIRMINGHAM, GB",-1.9026911,52.4796992
168,"QUIMPER, FR",-4.1024782,47.9960325
169,"CHAMPS SUR MARNE, FR",2.6027219,48.8526892
170,"PULDERBOS, BE",4.6900839,51.2160122
171,"BRON, FR",4.9092352,45.7337532
173,"WESTHALTEN, FR",7.2594611,47.957757
174,"CREUZIER LE NEUF, FR",3.4472492,46.1805596
175,"EPINAL, FR",6.4503643,48.1747684
176,"MONTBELIARD, FR",6.7977564,47.5102368
178,"STEINFORT, LU",5.9142764,49.6597985
179,"SAINT CONTEST, FR",-0.4030615,49.2134333
180,"NARBONNE, FR",3.0042121,43.1837661
182,"PERTUIS, FR",4.059229,45.0969383
183,"VILLENEUVE D'ASCQ, FR",3.1314002,50.6193174
184,"SAINT NAZAIRE, FR",-2.2138905,47.2733517
185,"SAINT SATURNIN, FR",3.9019931,48.613152
186,"TILBURG, NL",5.066061908648313,51.585618749999995
188,"AVELIN, FR",3.0812217,50.5378519
189,"MAGRIN, FR",1.92327,43.6111
190,"MEYRIN, CH",6.0712016,46.2283226
191,"MORTROUX, FR",1.9145279,46.3975297
192,"LOCHRISTI, BE",3.835561373149549,51.097928350000004
194,"CASTELNAU-LE-LEZ, FR",3.9133311,43.6393171
195,"VALLAURIS, FR",7.05859,43.5761001
196,"LUTON BEDS, GB",-0.41111375560310925,52.064003400000004
197,"BIDART, FR",-1.5898909,43.4391702
198,"BUSSIERE-DUNOISE, FR",1.7631518,46.2585899
199,"CLERMONT FERRAND, FR",3.0819427,45.7774551
200,"ST OUEN, FR",2.1223737,50.03683
202,"VERSAILLES, FR",2.1266886,48.8035403
204,"BREDA, NL",4.7760237,51.5887845
205,"SCHENEFELD, DE",9.48179,54.0459287
206,"ROME, IT",12.4829321,41.8933203
207,"ST CYR  / LOIRE, FR",4.8910853,46.683289
208,"AJ BREDA, NL",4.7760237,51.5887845
209,"GRAIGUECULLEN CARLOW, IE",-6.99848816709182,52.8448621
210,"ROMANS, FR",5.0238916,46.1217852
212,"COLOMBES, FR",2.2543577,48.922788
213,"PLESCOP, FR",-2.8062224,47.6980235
214,"ODENSE, DK",10.3852104,55.3997225
215,"LES MILLES, FR",5.3873997,43.5036881
216,"LIMOGES, FR",1.2644847,45.8354243
217,"LE MANS, FR",0.1967849,48.0073849
219,"NORTH PERTH, AU",115.8567044,-31.9308627
220,"SAINT-AVERTIN, FR",0.739923,47.3577
221,"AIGUES-MORTES, FR",4.1912837,43.5658225
222,"ROISSY EN FRANCE, FR",2.5176985,49.0032865
223,"LA HAYE MALHERBE, FR",1.0676474,49.2257632
224,"FERRIERES-SAINT-HILAIRE, FR",0.5677596,49.0316249
225,"SAINT GAUDENS, FR",0.7247218,43.1077682
227,"LA CIOTAT, FR",5.6062495,43.1758591
228,"KOELN, DE",6.959974,50.938361
229,"THAON LES VOSGES, FR",6.412361233645147,48.249484499999994
230,"VOUDENAY, FR",4.3781728,47.0938489
231,"MULHOUSE, FR",7.3389275,47.7467
232,"PERIGNY, FR",-0.6053427,48.9226051
234,"BRIGNAIS, FR",4.7540703,45.6739755
235,"VALBONNE, FR",7.0086255,43.641141
236,"POINTE-A-PITRE, GP",-61.5334077,16.2408636
237,"MONTREUIL SOUS BOIS, FR",2.4412184,48.8623357
239,"SAINT APOLLINAIRE, FR",5.0821629,47.3340704
240,"CHALLANS, FR",-1.8773787,46.847943
241,"SAINT-NAZAIRE, FR",-2.2138905,47.2733517
242,"VOERDE, DE",6.6811994,51.5975224
243,"MUTZIG, FR",7.4555778,48.5395474
244,"ANNECY, FR",6.1288847,45.8992348
245,"TREMONT SUR SAULX, FR",5.0543718,48.7475708
246,"SUCY EN BRIE, FR",2.5221284,48.7711323
247,"CHASSENEUIL-DU-POITOU, FR",0.3748389,46.6505634
248,"ECOLE-VALENTIN, FR",5.98206,47.272
249,"SINGAPORE, SG",103.8194992,1.357107
250,"VITRY SUR SEINE, FR",2.39164,48.7876
253,"ORGELET, FR",5.6109831,46.5205835
255,"GRAND CAYMAN, KY",-81.17122907994889,19.3298691
256,"JUVISY SUR ORGE, FR",2.373809,48.6904063
257,"NANCY, FR",6.1834097,48.6937223
258,"ARCIS LE PONSART, FR",3.6951934,49.2353279
259,"ENCAUSSE LES THERMES, FR",0.740325,43.0491
260,"SAINGHIN-EN-MELANTOIS, FR",3.1613643,50.5893806
262,"DIJON, FR",5.0414701,47.3215806
264,"ST MARCELLIN, FR",5.320347,45.1539715
265,"SARPOURENX, FR",-0.712571,43.4571103
266,"DIDENHEIM, FR",7.296842732934366,47.71610205
267,"VILLIERS SAINT FREDERIC, FR",1.8914159,48.8196898
269,"ROMA RM, IT",12.4829321,41.8933203
270,"COMPIEGNE, FR",2.8263171,49.4179497
271,"BEGLES, FR",-0.5488542,44.8074559
272,"GUIPAVAS, FR",-4.400979,48.4346366
273,"MARLY LE ROI, FR",2.0965935,48.8681762
275,"METZ TESSY, FR",6.106940139890374,45.9404188
276,"ALES, FR",4.0852818,44.1253665
277,"MORVILLARS, FR",6.9341381,47.5472055
278,"SEOUL, KR",126.9782914,37.5666791
279,"CARCASSONNE, FR",2.3491069,43.2130358
281,"AUXERRE, FR",3.570579,47.7961287
282,"AIXE SUR VIENNE, FR",1.1362125,45.7967581
284,"SAINT PIERRE DU MONT, FR",-0.9772897,49.3874958
285,"BALMA, FR",1.5057917,43.6112217
287,"LIXING LES ST AVOLD, FR",6.7523151,49.0357203
288,"MARSSAC SUR TARN, FR",2.0293467,43.9176823
291,"VILLEVIEILLE, FR",4.0932027,43.7887005
292,"NERAC, FR",0.3392503,44.1353979
294,"AIGUES-VIVES, FR",2.5338256,43.2310412
295,"GIMONT, FR",0.8776713,43.6273203
296,"PRODROMI, CY",32.4177522,35.0270159
297,"AMAY, BE",5.3240992,50.5497761
298,"LE CASTELLET, FR",5.9789367,43.9383814
299,"ETAULES, FR",4.9452229,47.4069343
300,"TELGTE, DE",7.784859,51.983522
301,"BEAURAINS, FR",2.7886987,50.2632628
302,"LA CHAPELLE ST-LUC, FR",4.0413095,48.3185478
303,"COUERON, FR",-1.7271466,47.2115054
304,"MUNCHENSTEIN, CH",7.6174515,47.5187909
305,"SEYSSINET-PARISET, FR",5.6899617,45.1790768
306,"BOBIGNY, FR",2.4452231,48.906387
307,"BARCELONA,, ES",-40.2534531,-20.1722242
310,"MEISE, BE",4.3287322,50.9341625
311,"MAHLOW, DE",13.410256,52.3578859
312,"SAINT-FRANCOIS, GP",6.6330653,46.519386
313,"HAGUENAU, FR",7.7885978,48.8172236
314,"BADEN, AT",16.2334951,48.0085749
315,"VALLENDAR, DE",7.6142479,50.4001381
316,"PUTEAUX, FR",2.2368863,48.8841522
317,"CHANTEPIE, FR",-1.6171482,48.088155
318,"BORDEAUX, FR",-0.5800364,44.841225
320,"VIRY CHATILLON, FR",2.3750351,48.6708729
321,"LA CANYADA, PATERNA, ES",-0.485945,39.5287349
322,"GOTHENBURG, SE",11.9670171,57.7072326
323,"NICOSIA, CY",33.364726,35.1739302
324,"SAINT-OUEN, FR",2.1223737,50.03683
325,"SOPHIA ANTIPOLIS, FR",7.0477082,43.619776
326,"VAULX EN VELIN, FR",4.9206153,45.7784255
327,"ORTISEI (BZ), IT",11.684557154748571,46.5904618
328,"L'UNION, FR",1.4846885,43.6501518
329,"ISSY LES MOULINEAUX, FR",2.273457,48.8250508
331,"BLAGNAC, FR",1.37799,43.6434
332,"SAINT OUEN, FR",2.1223737,50.03683
333,"LORMONT, FR",-0.5216683,44.8791708
334,"LA TOUR D'AIGUES, FR",5.5477306,43.724804
336,"BAIE MAHAULT, GP",-61.5693611,16.2442425
337,"MEYLAN, FR",5.7811983,45.2092471
338,"ARRAS, FR",2.7772211,50.291048
340,"VILLENEUVE-LES-AVIGNON, FR",4.7969224,43.9636595
341,"BELFORT, FR",6.8628942,47.6379599
342,"ANGOULEME, FR",0.1576745,45.6512748
343,"SETE, FR",3.6959771,43.4014434
344,"SHIBUYA TOKYO, JP",139.6987107,35.6645956
345,"DUESSELDORF, DE",6.7763137,51.2254018
346,"CABESTANY, FR",2.9403263,42.6799514
347,"SARATOGA SPRING, NY, US",-74.12503520754366,41.3149011
348,"VINCENNES, FR",2.4396714,48.8474508
349,"BREMEN, DE",8.8071646,53.0758196
351,"MAYENNE, FR",-0.6491273812007092,48.1507819
352,"MARRAKECH, MA",-7.9891608,31.6258257
353,"GENEVE, CH",6.1466014,46.2017559
354,"BIARRITZ, FR",-1.552726590666314,43.471143749999996
355,"OZOIR-LA-FERRIERE, FR",2.6719421,48.7620904
357,"IRVINE, US",-117.84016493553044,33.6431901
358,"LEVALLOIS PERRET, FR",2.2881683,48.892956
359,"CHARTRES, FR",1.4881434,48.4438601
360,"CONEGLIANO, IT",12.2977566,45.8862172
361,"BREST, FR",-4.4860088,48.3905283
362,"ANIANE, FR",3.5916694,43.6885589
363,"IVRY SUR SEINE, FR",2.3872525,48.8122302
364,"FUTUROSCOPE CHASSENEUIL, FR",0.36702144928599023,46.6674543
365,"BAZET, FR",0.0761866,43.2907326
366,"CHERBOURG, FR",-1.5755441090380597,49.51271975
367,"MERIGNAC, FR",-0.6469599,44.8422361
368,"SEVRES, FR",2.2127083,48.8247407
371,"NAESTVED, DK",11.7674102,55.2328252
372,"LEVALLOIS-PERRET, FR",2.2881683,48.892956
374,"SAINT-ETIENNE-DU-ROUVRAY, FR",1.09163,49.3831
375,"TORQUAY (DEVON), GB",-3.5102934,50.5399461
376,"SAARBRUCKEN, DE",6.996379,49.234362
378,"PERPIGNAN, FR",2.8953121,42.6985304
379,"METZ, FR",6.1763552,49.1196964
380,"PRANGINS, CH",6.2487871,46.3947976
381,"BILIEU, FR",5.55145,45.4486
383,"CENON, FR",-0.5239863,44.8552882
385,"SAINT CLOUD, FR",2.219344,48.8437412
387,"FLORENCE, IT",11.2555757,43.7698712
388,"TRIESEN, LI",9.5274876,47.106994
389,"ZURICH, CH",8.5410422,47.3744489
390,"AP NIEUWEGEIN, NL",5.0836117,52.0367152
391,"LA PLAINE SAINT-DENIS, FR",2.3658756,48.9118584
392,"VAUDRY, FR",-0.8407380092374017,48.8554423
394,"TORQUAY DEVON, GB",-3.5102934,50.5399461
395,"TOULON, FR",5.9304919,43.1257311
396,"AUBAGNE, FR",5.5703031,43.2924385
397,"NORTH POINT, HK",114.1989737,22.2906565
